match_date,match_result,season
"Saturday, 26 August",Puneri Paltan beat U Mumba (26-24),5
"Sunday, 27 August",Bengal Warriors beat Bengaluru Bulls (32-26),5
"Sunday, 27 August",Dabang Delhi K.C. beat U Mumba (33-32),5
"Wednesday, 30 August",U Mumba beat Haryana Steelers (38-32),5
"Thursday, 31 August",Telugu Titans beat Tamil Thalaivas (33-28),5
"Thursday, 31 August",U Mumba beat Jaipur Pink Panthers (36-32),5
"Friday, 01 September",Bengal Warriors beat Patna Pirates (41-38),5
"Saturday, 02 September",Haryana Steelers beat Gujarat Fortunegiants (42-36),5
"Saturday, 02 September",Match Tied,5
"Sunday, 03 September",Jaipur Pink Panthers beat Gujarat Fortunegiants (31-25),5
"Sunday, 03 September",Bengal Warriors beat Tamil Thalaivas (29-25),5
"Tuesday, 05 September",Patna Pirates beat Jaipur Pink Panthers (47-21),5
"Tuesday, 05 September",Haryana Steelers beat Bengal Warriors (36-29),5
"Wednesday, 06 September",Dabang Delhi K.C. beat Bengaluru Bulls (38-30),5
"Wednesday, 06 September",U Mumba beat Bengal Warriors (37-31),5
"Thursday, 07 September",Puneri Paltan beat Telugu Titans (42-37),5
"Thursday, 07 September",Match Tied,5
"Friday, 08 September",Match Tied,5
"Friday, 08 September",Match Tied,5
"Saturday, 09 September",U Mumba beat Patna Pirates (51-41),5
"Saturday, 09 September",Haryana Steelers beat Bengaluru Bulls (38-31),5
"Sunday, 10 September",Bengaluru Bulls beat Puneri Paltan (24-20),5
"Sunday, 10 September",Telugu Titans beat Haryana Steelers (37-19),5
"Tuesday, 12 September",Bengal Warriors beat Telugu Titans (32-31),5
"Tuesday, 12 September",Haryana Steelers beat Dabang Delhi K.C. (27-24),5
"Wednesday, 13 September",Tamil Thalaivas beat U.P. Yoddha (34-33),5
"Wednesday, 13 September",Puneri Paltan beat Haryana Steelers (38-22),5
"Thursday, 14 September",Match Tied,5
"Friday, 15 September",Patna Pirates beat Telugu Titans (46-30),5
"Friday, 15 September",Gujarat Fortunegiants beat U Mumba (39-28),5
"Saturday, 16 September",Match Tied,5
"Saturday, 16 September",Patna Pirates beat U.P. Yoddha (45-42),5
"Sunday, 17 September",Jaipur Pink Panthers beat Dabang Delhi K.C. (36-25),5
"Sunday, 17 September",Match Tied,5
"Tuesday, 19 September",Puneri Paltan beat Haryana Steelers (37-25),5
"Tuesday, 19 September",Patna Pirates beat Bengaluru Bulls (36-32),5
"Wednesday, 20 September",Gujarat Fortunegiants beat U Mumba (45-23),5
"Wednesday, 20 September",Patna Pirates beat Tamil Thalaivas (41-39),5
"Thursday, 21 September",Haryana Steelers beat Jaipur Pink Panthers (30-26),5
"Thursday, 21 September",U.P. Yoddha beat Patna Pirates (46-41),5
"Friday, 22 September",U Mumba beat Dabang Delhi K.C. (30-28),5
"Saturday, 23 September",Bengal Warriors beat Bengaluru Bulls (33-29),5
"Saturday, 23 September",Puneri Paltan beat Dabang Delhi K.C. (34-29),5
"Sunday, 24 September",Tamil Thalaivas beat Bengal Warriors (33-32),5
"Sunday, 24 September",Haryana Steelers beat Dabang Delhi K.C. (42-24),5
"Tuesday, 26 September",Tamil Thalaivas beat Gujarat Fortunegiants (35-34),5
"Tuesday, 26 September",Patna Pirates beat Dabang Delhi K.C. (36-34),5
"Wednesday, 27 September",Telugu Titans beat Jaipur Pink Panthers (41-34),5
"Wednesday, 27 September",U.P. Yoddha beat Dabang Delhi K.C. (45-16),5
"Thursday, 28 September",U Mumba beat Bengaluru Bulls (42-30),5
"Thursday, 28 September",Telugu Titans beat Dabang Delhi K.C. (44-22),5
"Friday, 29 September",Puneri Paltan beat Tamil Thalaivas (33-20),5
"Friday, 29 September",Gujarat Fortunegiants beat Patna Pirates (30-29),5
"Saturday, 30 September",Puneri Paltan beat U.P. Yoddha (34-33),5
"Saturday, 30 September",Jaipur Pink Panthers beat Tamil Thalaivas (27-26),5
"Sunday, 01 October",Bengal Warriors beat Jaipur Pink Panthers (32-31),5
"Sunday, 01 October",U Mumba beat Tamil Thalaivas (33-30),5
"Tuesday, 03 October",Gujarat Fortunegiants beat Dabang Delhi K.C. (42-22),5
"Tuesday, 03 October",Telugu Titans beat Tamil Thalaivas (58-37),5
"Wednesday, 04 October",Haryana Steelers beat U Mumba (41-30),5
"Wednesday, 04 October",U.P. Yoddha beat Tamil Thalaivas (37-33),5
"Thursday, 05 October",Bengaluru Bulls beat Tamil Thalaivas (45-35),5
"Friday, 06 October",Gujarat Fortunegiants beat Jaipur Pink Panthers (29-23),5
"Friday, 06 October",Bengal Warriors beat Puneri Paltan (25-19),5
"Saturday, 07 October",Haryana Steelers beat Telugu Titans (32-30),5
"Saturday, 07 October",Jaipur Pink Panthers beat U Mumba (36-32),5
"Sunday, 08 October",Gujarat Fortunegiants beat Patna Pirates (33-29),5
"Sunday, 08 October",Puneri Paltan beat Jaipur Pink Panthers (38-30),5
"Tuesday, 10 October",Tamil Thalaivas beat U Mumba (38-35),5
"Tuesday, 10 October",Dabang Delhi K.C. beat Jaipur Pink Panthers (35-34),5
"Wednesday, 11 October",Bengaluru Bulls beat Dabang Delhi K.C. (35-32),5
"Wednesday, 11 October",Haryana Steelers beat Jaipur Pink Panthers (37-27),5
"Thursday, 12 October",U.P. Yoddha beat Jaipur Pink Panthers (53-32),5
"Friday, 13 October",Gujarat Fortunegiants beat Puneri Paltan (44-20),5
"Friday, 13 October",Bengal Warriors beat Tamil Thalaivas (34-30),5
"Saturday, 14 October",Tamil Thalaivas beat Patna Pirates (40-37),5
"Saturday, 14 October",Puneri Paltan beat U Mumba (43-24),5
"Sunday, 15 October",Bengaluru Bulls beat U.P. Yoddha (38-32),5
"Sunday, 15 October",Puneri Paltan beat Dabang Delhi K.C. (34-31),5
"Tuesday, 17 October",Bengaluru Bulls beat U.P. Yoddha (64-24),5
"Tuesday, 17 October",Haryana Steelers beat Puneri Paltan (31-27),5
"Wednesday, 18 October",Match Tied,5
"Wednesday, 18 October",Puneri Paltan beat Jaipur Pink Panthers (38-15),5
"Friday, 20 October",Match Tied,5
"Friday, 20 October",Gujarat Fortunegiants beat Puneri Paltan (23-22),5
"Monday, 23 October",Puneri Paltan beat U.P. Yoddha (40-38),5
"Monday, 23 October",Patna Pirates beat Haryana Steelers (69-30),5
"Tuesday, 24 October",Gujarat Fortunegiants beat Bengal Warriors (42-17),5
"Tuesday, 24 October",Patna Pirates beat Puneri Paltan (42-32),5
"Thursday, 26 October",Patna Pirates beat Bengal Warriors (47-44),5
"Saturday, 28 October",Patna Pirates beat Gujarat Fortunegiants (55-38),5
"Sunday, 07 October",Tamil Thalaivas beat Patna Pirates (42-26),6
"Sunday, 07 October",Match Tied,6
"Monday, 08 October",Puneri Paltan beat Haryana Steelers (34-22),6
"Monday, 08 October",U.P. Yoddha beat Tamil Thalaivas (37-32),6
"Tuesday, 09 October",Match Tied,6
"Tuesday, 09 October",Telugu Titans beat Tamil Thalaivas (33-28),6
"Wednesday, 10 October",U Mumba beat Jaipur Pink Panthers (39-32),6
"Wednesday, 10 October",Bengaluru Bulls beat Tamil Thalaivas (48-37),6
"Thursday, 11 October",Patna Pirates beat U.P. Yoddha (43-41),6
"Thursday, 11 October",Bengal Warriors beat Tamil Thalaivas (36-27),6
"Friday, 12 October",Haryana Steelers beat Gujarat Fortunegiants (32-25),6
"Friday, 12 October",Dabang Delhi K.C. beat Puneri Paltan (41-37),6
"Saturday, 13 October",Telugu Titans beat U.P. Yoddha (34-29),6
